Model Name,Noise Type,Noise Level,Average WER
NbAiLab-nb-whisper-large-verbatim,angry_male_crowd_ambience,96,0.2553006119171931
NbAiLab-nb-whisper-large-verbatim,angry_male_crowd_ambience,100,0.40168166970588065
NbAiLab-nb-whisper-large-verbatim,angry_male_crowd_ambience,104,0.6052517465547633
NbAiLab-nb-whisper-large-verbatim,angry_male_crowd_ambience,108,0.8614958375321523
NbAiLab-nb-whisper-large-verbatim,angry_male_crowd_ambience,112,0.9657898592830705
NbAiLab-nb-whisper-large-verbatim,angry_male_crowd_ambience,116,0.9737382138945606
NbAiLab-nb-whisper-large-verbatim,angry_male_crowd_ambience,120,0.9787190568064381
NbAiLab-nb-whisper-large-verbatim,angry_male_crowd_ambience,130,0.9958368579058234
NbAiLab-nb-whisper-large-verbatim,crowded_beach_ambience,40,0.0
NbAiLab-nb-whisper-large-verbatim,crowded_beach_ambience,50,0.0
NbAiLab-nb-whisper-large-verbatim,crowded_beach_ambience,60,0.0032368621477532372
NbAiLab-nb-whisper-large-verbatim,crowded_beach_ambience,70,0.004870849075857812
NbAiLab-nb-whisper-large-verbatim,crowded_beach_ambience,80,0.021660444581337077
NbAiLab-nb-whisper-large-verbatim,crowded_beach_ambience,88,0.06906681754145275
NbAiLab-nb-whisper-large-verbatim,crowded_beach_ambience,84,0.04031101378337687
NbAiLab-nb-whisper-large-verbatim,crowded_beach_ambience,92,0.11511741775384528
NbAiLab-nb-whisper-large-verbatim,crowded_beach_ambience,96,0.20622732512545217
NbAiLab-nb-whisper-large-verbatim,crowded_beach_ambience,100,0.32789615071297784
NbAiLab-nb-whisper-large-verbatim,crowded_beach_ambience,104,0.5110750793249166
NbAiLab-nb-whisper-large-verbatim,crowded_beach_ambience,108,0.8203331042879645
NbAiLab-nb-whisper-large-verbatim,crowded_beach_ambience,112,0.951726353502996
NbAiLab-nb-whisper-large-verbatim,crowded_beach_ambience,116,0.9763786446912714
NbAiLab-nb-whisper-large-verbatim,crowded_beach_ambience,120,0.9987228607918264
NbAiLab-nb-whisper-large-verbatim,crowded_beach_ambience,130,0.9873511679269892
NbAiLab-nb-whisper-large-verbatim,ATV_engine_motor_hum,40,0.0
NbAiLab-nb-whisper-large-verbatim,ATV_engine_motor_hum,50,0.0
NbAiLab-nb-whisper-large-verbatim,ATV_engine_motor_hum,60,0.0
NbAiLab-nb-whisper-large-verbatim,ATV_engine_motor_hum,70,0.006535947712418301
NbAiLab-nb-whisper-large-verbatim,ATV_engine_motor_hum,80,0.06532760473149957
NbAiLab-nb-whisper-large-verbatim,ATV_engine_motor_hum,84,0.06928769526007897
NbAiLab-nb-whisper-large-verbatim,ATV_engine_motor_hum,88,0.06977335089605695
NbAiLab-nb-whisper-large-verbatim,ATV_engine_motor_hum,92,0.16871629227080343
NbAiLab-nb-whisper-large-verbatim,ATV_engine_motor_hum,96,0.23871828418378785
NbAiLab-nb-whisper-large-verbatim,ATV_engine_motor_hum,100,0.36545916762100955
NbAiLab-nb-whisper-large-verbatim,ATV_engine_motor_hum,104,0.6053793624896114
NbAiLab-nb-whisper-large-verbatim,ATV_engine_motor_hum,108,0.7555537509904682
NbAiLab-nb-whisper-large-verbatim,ATV_engine_motor_hum,112,0.8291665661085408
NbAiLab-nb-whisper-large-verbatim,ATV_engine_motor_hum,116,0.9091373763446504
NbAiLab-nb-whisper-large-verbatim,ATV_engine_motor_hum,120,0.9807364662515484
NbAiLab-nb-whisper-large-verbatim,ATV_engine_motor_hum,130,0.9985569985569985
NbAiLab-nb-whisper-large-verbatim,driving_in_the_rain,130,0.969916853871714
NbAiLab-nb-whisper-large-verbatim,driving_in_the_rain,40,0.0
NbAiLab-nb-whisper-large-verbatim,driving_in_the_rain,50,0.0
NbAiLab-nb-whisper-large-verbatim,driving_in_the_rain,60,0.0
NbAiLab-nb-whisper-large-verbatim,driving_in_the_rain,70,0.005645223075383942
NbAiLab-nb-whisper-large-verbatim,driving_in_the_rain,80,0.013815157715906816
NbAiLab-nb-whisper-large-verbatim,driving_in_the_rain,84,0.019803272223291105
NbAiLab-nb-whisper-large-verbatim,driving_in_the_rain,88,0.03284726692434603
NbAiLab-nb-whisper-large-verbatim,driving_in_the_rain,92,0.06826535405251288
NbAiLab-nb-whisper-large-verbatim,driving_in_the_rain,96,0.11211464102385056
NbAiLab-nb-whisper-large-verbatim,driving_in_the_rain,100,0.19834693594435304
NbAiLab-nb-whisper-large-verbatim,driving_in_the_rain,104,0.28140310070778696
NbAiLab-nb-whisper-large-verbatim,driving_in_the_rain,108,0.4583985281472689
NbAiLab-nb-whisper-large-verbatim,driving_in_the_rain,112,0.7036497675899769
